Season,GameNumber,GameDate,VTeamCode,HTeamCode
2010,20678,2011-01-17,NJ,NYI
2010,20679,2011-01-17,SJ,PHX
2010,20680,2011-01-17,CGY,MTL
2010,20681,2011-01-17,ATL,FLA
2010,20682,2011-01-17,LA,DAL
2010,20683,2011-01-18,MTL,BUF
2010,20684,2011-01-18,WSH,PHI
2010,20685,2011-01-18,DET,PIT
2010,20686,2011-01-18,BOS,CAR
2010,20687,2011-01-18,ANA,OTT
2010,20688,2011-01-18,CBJ,TB
2010,20689,2011-01-18,LA,STL
2010,20690,2011-01-18,VAN,COL
2010,20691,2011-01-18,MIN,EDM
2010,20692,2011-01-18,NSH,PHX
2010,20693,2011-01-19,TOR,NYR
2010,20694,2011-01-19,CBJ,FLA
2010,20695,2011-01-19,MIN,CGY
2010,20696,2011-01-20,BUF,BOS
2010,20697,2011-01-20,ANA,TOR
2010,20698,2011-01-20,PIT,NJ
2010,20699,2011-01-20,WSH,NYI
2010,20700,2011-01-20,OTT,PHI
2010,20701,2011-01-20,NYR,CAR
2010,20702,2011-01-20,TB,ATL
2010,20703,2011-01-20,DET,STL
2010,20704,2011-01-20,NSH,COL
2010,20705,2011-01-20,DAL,EDM
2010,20706,2011-01-20,SJ,VAN
2010,20707,2011-01-20,PHX,LA
2010,20708,2011-01-21,NYI,BUF
2010,20709,2011-01-21,MTL,OTT
2010,20710,2011-01-21,TB,FLA
2010,20711,2011-01-21,DAL,CGY
2010,20712,2011-01-22,NJ,PHI
2010,20713,2011-01-22,CHI,DET
2010,20714,2011-01-22,BOS,COL
2010,20715,2011-01-22,WSH,TOR
2010,20716,2011-01-22,ANA,MTL
2010,20717,2011-01-22,CAR,PIT
2010,20718,2011-01-22,NYR,ATL
2010,20719,2011-01-22,CBJ,STL
2010,20720,2011-01-22,LA,PHX
2010,20721,2011-01-22,CGY,VAN
2010,20722,2011-01-22,MIN,SJ
2010,20723,2011-01-23,FLA,NJ
2010,20724,2011-01-23,BUF,NYI
2010,20725,2011-01-23,PHI,CHI
2010,20726,2011-01-23,ATL,TB
2010,20727,2011-01-23,NSH,EDM
2010,20728,2011-01-24,NYR,WSH
2010,20729,2011-01-24,TOR,CAR
2010,20730,2011-01-24,NSH,CGY
2010,20731,2011-01-24,STL,COL
2010,20732,2011-01-24,DAL,VAN
2010,20733,2011-01-24,BOS,LA
2010,20734,2011-01-25,FLA,NYR
2010,20735,2011-01-25,MTL,PHI
2010,20736,2011-01-25,NYI,PIT
2010,20737,2011-01-25,ANA,CBJ
2010,20738,2011-01-25,BUF,OTT
2010,20739,2011-01-25,TOR,TB
2010,20740,2011-01-25,MIN,CHI
2010,20741,2011-01-25,EDM,PHX
2010,20742,2011-01-26,FLA,BOS
2010,20743,2011-01-26,CAR,NYI
2010,20744,2011-01-26,WSH,ATL
2010,20745,2011-01-26,NJ,DET
2010,20746,2011-01-26,EDM,DAL
2010,20747,2011-01-26,PHX,COL
2010,20748,2011-01-26,STL,CGY
2010,20749,2011-01-26,NSH,VAN
2010,20750,2011-01-26,SJ,LA
2010,20751,2011-02-01,FLA,TOR
2010,20752,2011-02-01,OTT,NJ
2010,20753,2011-02-01,PIT,NYR
2010,20754,2011-02-01,MTL,WSH
2010,20755,2011-02-01,BOS,CAR
2010,20756,2011-02-01,NYI,ATL
2010,20757,2011-02-01,CHI,CBJ
2010,20758,2011-02-01,PHI,TB
2010,20759,2011-02-22,COL,STL
2010,20760,2011-02-01,CGY,NSH
2010,20761,2011-02-01,LA,MIN
2010,20762,2011-02-01,VAN,DAL
2010,20763,2011-02-01,PHX,SJ
2010,20764,2011-02-02,DET,OTT
2010,20765,2011-02-02,NYI,PIT
2010,20766,2011-02-02,FLA,MTL
2010,20767,2011-02-02,VAN,PHX
2010,20768,2011-02-02,LA,EDM
2010,20769,2011-02-02,SJ,ANA
