,Season,GameNumber,TeamCode,RosterCount,D1,D2,F1,F2
528,2010,20331,FLA,18.0,1.0,5.0,0.0,12.0
529,2010,20331,NYR,18.0,2.0,4.0,4.0,8.0
530,2010,20332,DAL,18.0,1.0,5.0,3.0,9.0
531,2010,20332,STL,18.0,1.0,5.0,3.0,9.0
532,2010,20335,CGY,18.0,1.0,5.0,3.0,9.0
533,2010,20335,PIT,18.0,3.0,3.0,5.0,7.0
534,2010,20336,BUF,18.0,2.0,4.0,3.0,9.0
535,2010,20336,MTL,18.0,1.0,5.0,3.0,9.0
536,2010,20337,OTT,18.0,1.0,5.0,1.0,11.0
537,2010,20337,TOR,18.0,1.0,5.0,2.0,10.0
538,2010,20338,FLA,18.0,1.0,5.0,0.0,12.0
539,2010,20338,TB,18.0,0.0,6.0,2.0,10.0
540,2010,20339,DAL,18.0,1.0,5.0,3.0,9.0
541,2010,20339,STL,18.0,1.0,5.0,3.0,9.0
542,2010,20341,ANA,18.0,1.0,5.0,4.0,8.0
543,2010,20341,PHX,18.0,2.0,4.0,4.0,8.0
544,2010,20342,COL,18.0,1.0,5.0,2.0,10.0
545,2010,20342,MIN,18.0,1.0,5.0,2.0,10.0
546,2010,20343,EDM,18.0,1.0,5.0,0.0,12.0
547,2010,20343,SJ,18.0,2.0,4.0,6.0,6.0
548,2010,20345,CAR,18.0,1.0,5.0,3.0,9.0
549,2010,20345,WSH,18.0,3.0,3.0,5.0,7.0
550,2010,20347,CBJ,18.0,0.0,6.0,2.0,10.0
551,2010,20347,DET,18.0,3.0,3.0,5.0,7.0
552,2010,20348,NYR,18.0,2.0,4.0,4.0,8.0
553,2010,20348,PIT,18.0,3.0,3.0,5.0,7.0
554,2010,20349,CAR,18.0,1.0,5.0,3.0,9.0
555,2010,20349,DAL,18.0,1.0,5.0,3.0,9.0
556,2010,20350,EDM,18.0,1.0,5.0,0.0,12.0
557,2010,20350,OTT,18.0,1.0,5.0,1.0,11.0
558,2010,20351,CGY,18.0,1.0,5.0,3.0,9.0
559,2010,20351,MIN,18.0,1.0,5.0,2.0,10.0
560,2010,20352,ANA,18.0,2.0,4.0,5.0,7.0
561,2010,20352,LA,18.0,3.0,3.0,5.0,7.0
562,2010,20354,NSH,18.0,2.0,4.0,3.0,9.0
563,2010,20354,PHX,18.0,2.0,4.0,4.0,8.0
564,2010,20356,ATL,18.0,2.0,4.0,1.0,11.0
565,2010,20356,COL,18.0,1.0,5.0,2.0,10.0
566,2010,20357,DET,18.0,3.0,3.0,5.0,7.0
567,2010,20357,SJ,18.0,2.0,4.0,6.0,6.0
568,2010,20358,EDM,18.0,1.0,5.0,0.0,12.0
569,2010,20358,MTL,18.0,1.0,5.0,3.0,9.0
570,2010,20359,BOS,18.0,3.0,3.0,5.0,7.0
571,2010,20359,PHI,18.0,3.0,3.0,5.0,7.0
572,2010,20360,CBJ,18.0,0.0,6.0,2.0,10.0
573,2010,20360,NSH,18.0,2.0,4.0,3.0,9.0
574,2010,20361,STL,18.0,1.0,5.0,3.0,9.0
575,2010,20361,WSH,18.0,3.0,3.0,5.0,7.0
576,2010,20362,MIN,18.0,1.0,5.0,3.0,9.0
577,2010,20362,PHX,18.0,2.0,4.0,4.0,8.0
578,2010,20363,CGY,18.0,1.0,5.0,3.0,9.0
579,2010,20363,VAN,18.0,3.0,3.0,5.0,7.0
580,2010,20364,ANA,18.0,2.0,4.0,5.0,7.0
581,2010,20364,FLA,18.0,1.0,5.0,0.0,12.0
582,2010,20366,EDM,18.0,1.0,5.0,0.0,12.0
583,2010,20366,TOR,18.0,1.0,5.0,2.0,10.0
584,2010,20367,MTL,18.0,0.0,6.0,3.0,9.0
585,2010,20367,NJ,18.0,0.0,6.0,2.0,10.0
586,2010,20368,NYI,18.0,0.0,6.0,1.0,11.0
587,2010,20368,NYR,18.0,2.0,4.0,4.0,8.0
588,2010,20370,OTT,18.0,1.0,5.0,1.0,11.0
589,2010,20370,SJ,18.0,2.0,4.0,6.0,6.0
590,2010,20371,DAL,18.0,1.0,5.0,3.0,9.0
591,2010,20371,WSH,18.0,3.0,3.0,5.0,7.0
592,2010,20372,FLA,18.0,1.0,5.0,0.0,12.0
593,2010,20372,LA,18.0,3.0,3.0,5.0,7.0
594,2010,20373,NYI,18.0,0.0,6.0,1.0,11.0
595,2010,20373,NYR,18.0,2.0,4.0,4.0,8.0
596,2010,20374,CAR,18.0,1.0,5.0,3.0,9.0
597,2010,20374,COL,18.0,1.0,5.0,2.0,10.0
598,2010,20375,BUF,18.0,2.0,4.0,4.0,8.0
599,2010,20375,CBJ,18.0,0.0,6.0,2.0,10.0
600,2010,20376,CGY,18.0,1.0,5.0,3.0,9.0
601,2010,20376,MIN,18.0,1.0,5.0,3.0,9.0
602,2010,20378,ANA,18.0,2.0,4.0,4.0,8.0
603,2010,20378,DET,18.0,3.0,3.0,5.0,7.0
604,2010,20379,NJ,18.0,0.0,6.0,2.0,10.0
605,2010,20379,PHI,18.0,3.0,3.0,5.0,7.0
606,2010,20380,MTL,18.0,0.0,6.0,3.0,9.0
607,2010,20380,SJ,18.0,2.0,4.0,6.0,6.0
608,2010,20381,BOS,18.0,3.0,3.0,5.0,7.0
609,2010,20381,TOR,18.0,1.0,5.0,2.0,10.0
610,2010,20383,ATL,18.0,2.0,4.0,1.0,11.0
611,2010,20383,WSH,18.0,3.0,3.0,5.0,7.0
612,2010,20384,CBJ,18.0,0.0,6.0,2.0,10.0
613,2010,20384,PIT,18.0,3.0,3.0,4.0,8.0
614,2010,20385,COL,18.0,1.0,5.0,2.0,10.0
615,2010,20385,TB,18.0,0.0,6.0,2.0,10.0
616,2010,20386,CAR,18.0,1.0,5.0,3.0,9.0
617,2010,20386,NSH,18.0,2.0,4.0,3.0,9.0
618,2010,20388,FLA,18.0,1.0,5.0,0.0,12.0
619,2010,20388,PHX,18.0,2.0,4.0,4.0,8.0
620,2010,20389,EDM,18.0,1.0,5.0,0.0,12.0
621,2010,20389,STL,18.0,1.0,5.0,3.0,9.0
622,2010,20391,NYI,18.0,0.0,6.0,1.0,11.0
623,2010,20391,PHI,18.0,3.0,3.0,5.0,7.0
624,2010,20392,NYR,18.0,2.0,4.0,4.0,8.0
625,2010,20392,OTT,18.0,1.0,5.0,1.0,11.0
626,2010,20394,ANA,18.0,2.0,4.0,4.0,8.0
627,2010,20394,PHX,18.0,2.0,4.0,4.0,8.0
628,2010,20395,STL,18.0,1.0,5.0,2.0,10.0
629,2010,20395,VAN,18.0,3.0,3.0,5.0,7.0
630,2010,20397,TOR,18.0,1.0,5.0,2.0,10.0
631,2010,20397,WSH,18.0,3.0,3.0,5.0,7.0
632,2010,20398,ATL,18.0,2.0,4.0,1.0,11.0
633,2010,20398,NSH,18.0,2.0,4.0,3.0,9.0
634,2010,20400,CBJ,18.0,0.0,6.0,2.0,10.0
635,2010,20400,DAL,18.0,1.0,5.0,3.0,9.0
636,2010,20401,BOS,18.0,3.0,3.0,5.0,7.0
637,2010,20401,BUF,18.0,2.0,4.0,3.0,9.0
638,2010,20402,MTL,18.0,0.0,6.0,3.0,9.0
639,2010,20402,OTT,18.0,1.0,5.0,1.0,11.0
640,2010,20403,COL,18.0,1.0,5.0,2.0,10.0
641,2010,20403,FLA,18.0,1.0,5.0,0.0,12.0
642,2010,20404,CGY,18.0,1.0,5.0,3.0,9.0
643,2010,20404,TB,18.0,0.0,6.0,2.0,10.0
644,2010,20405,ANA,18.0,2.0,4.0,5.0,7.0
645,2010,20405,EDM,18.0,1.0,5.0,0.0,12.0
646,2010,20406,PHI,18.0,3.0,3.0,5.0,7.0
647,2010,20406,SJ,18.0,3.0,3.0,6.0,6.0
648,2010,20407,PIT,18.0,3.0,3.0,4.0,8.0
649,2010,20407,TOR,18.0,1.0,5.0,2.0,10.0
650,2010,20408,DET,18.0,3.0,3.0,5.0,7.0
651,2010,20408,NSH,18.0,2.0,4.0,4.0,8.0
652,2010,20410,ANA,18.0,2.0,4.0,5.0,7.0
653,2010,20410,VAN,18.0,3.0,3.0,4.0,8.0
654,2010,20411,BOS,18.0,3.0,3.0,5.0,7.0
655,2010,20411,NYI,18.0,0.0,6.0,1.0,11.0
656,2010,20412,BUF,18.0,2.0,4.0,3.0,9.0
657,2010,20412,SJ,18.0,3.0,3.0,6.0,6.0
658,2010,20413,PHI,18.0,3.0,3.0,5.0,7.0
659,2010,20413,TOR,18.0,1.0,5.0,2.0,10.0
660,2010,20414,FLA,18.0,1.0,5.0,0.0,12.0
661,2010,20414,WSH,18.0,3.0,3.0,5.0,7.0
662,2010,20415,NYR,18.0,2.0,4.0,4.0,8.0
663,2010,20415,OTT,18.0,1.0,5.0,1.0,11.0
664,2010,20416,CBJ,18.0,0.0,6.0,2.0,10.0
665,2010,20416,STL,18.0,1.0,5.0,2.0,10.0
666,2010,20417,MIN,18.0,1.0,5.0,3.0,9.0
667,2010,20417,PHX,18.0,2.0,4.0,4.0,8.0
668,2010,20418,CGY,18.0,1.0,5.0,3.0,9.0
669,2010,20418,LA,18.0,3.0,3.0,5.0,7.0
670,2010,20419,DET,18.0,3.0,3.0,5.0,7.0
671,2010,20419,MTL,18.0,1.0,5.0,3.0,9.0
672,2010,20420,NJ,18.0,0.0,6.0,2.0,10.0
